1.00005 0.973793 2.14247 103674 0.38375 0.0833295 -0.00265633
2.00006 0.94752 2.31083 102394 1.03356 0.310804 -0.0232959
3.00003 0.928562 2.48059 98775 1.78262 0.610658 -0.0409469
4.00007 0.924001 2.65783 92579 2.54849 0.942788 -0.0479636
5.00001 0.931527 2.84338 85010 3.3059 1.28559 -0.0516744
6.00004 0.946175 3.01077 77327 4.03501 1.63213 -0.0493012
7.00001 0.964354 3.16881 70178 4.73739 1.98074 -0.0472275
8.00006 0.984174 3.31922 63771 5.41473 2.34137 -0.0450826
9.00006 1.0075 3.47055 57934 6.06922 2.70233 -0.0417555
10.0001 1.03058 3.6113 52850 6.70458 3.06229 -0.0410201
11 1.05488 3.74657 48342 7.31925 3.4136 -0.0367397
12.0001 1.0794 3.88423 44378 7.91392 3.78111 -0.0349273
13.0001 1.10201 4.0148 40923 8.51059 4.15734 -0.0346196
14 1.125 4.13555 37809 9.0997 4.5236 -0.0330945
15 1.14855 4.26242 34985 9.69127 4.88761 -0.0319195
16.0001 1.17078 4.38729 32484 10.2949 5.30086 -0.0337328
17 1.19078 4.50583 30267 10.9087 5.73669 -0.0333426
18.0002 1.21689 4.62052 28069 11.4936 6.12761 -0.0289696
19.0001 1.24097 4.73093 26081 12.0892 6.5555 -0.0272783
20.0001 1.26404 4.83521 24337 12.7071 7.00527 -0.0308969
21.0002 1.28418 4.94958 22740 13.3254 7.48991 -0.0305333
22.0001 1.30567 5.07239 21245 13.9774 8.01464 -0.034029
23.0001 1.33064 5.19008 19852 14.5662 8.45094 -0.0254445
24 1.35041 5.31629 18617 15.1769 8.93929 -0.0233949
25 1.37451 5.44324 17434 15.7968 9.44396 -0.0254349
26 1.39457 5.57219 16407 16.4176 9.932 -0.0265515
27 1.41526 5.7031 15438 17.056 10.464 -0.0258234
28.0001 1.43849 5.83276 14537 17.6896 11.0125 -0.0270189
29.0001 1.45593 5.95409 13793 18.2571 11.4841 -0.02264
30 1.47842 6.07882 13019 18.8671 12.0836 -0.0231762
31 1.50136 6.19614 12314 19.5067 12.6948 -0.0256152
32 1.53011 6.30983 11614 20.087 13.1675 -0.0199716
33.0001 1.54455 6.42369 11079 20.6698 13.6688 -0.0215863
34.0001 1.56905 6.53648 10509 21.2069 14.1269 -0.0182973
35.0001 1.58866 6.64455 10024 21.7643 14.6427 -0.0183979
36.0001 1.60659 6.74961 9584 22.3373 15.1994 -0.0197808
37.0001 1.62291 6.85232 9182 22.9224 15.6544 -0.0203352
38 1.64268 6.95051 8783 23.5001 16.2141 -0.0184813
39 1.6582 7.04386 8434 24.0474 16.8901 -0.0166617
40 1.67352 7.13709 8109 24.5804 17.4051 -0.0160251
41.0001 1.69104 7.23214 7788 25.1777 18.2086 -0.0206672
42.0001 1.7064 7.33144 7496 25.713 18.8726 -0.0171646
43 1.71979 7.42774 7233 26.2436 19.5126 -0.016929
44 1.72747 7.51898 7009 26.7797 20.1906 -0.0167526
45.0001 1.73917 7.60476 6780 27.3098 20.8082 -0.0146332
46 1.75713 7.68688 6540 27.7565 21.2391 -0.012104
47.0001 1.77074 7.76605 6328 28.2536 21.7884 -0.01544
48.0001 1.78754 7.84444 6114 28.7432 22.2704 -0.0145527
49 1.80831 7.9187 5900 29.1765 22.8693 -0.012113
